总口碑数量,在售口碑数量,车型名称,车型版本,发表时间,用户昵称,口碑标题,行驶里程,夏季电耗,春秋电耗,冬季电耗,夏季续航,春秋续航,冬季续航,百公里油耗,裸车购买价,购买时间,购买地点,最满意,最不满意,空间评分,空间评论,驾驶感受评分,驾驶感受评论,续航评分,续航评论,外观评分,外观评论,内饰评分,内饰评论,性价比评分,性价比评论,智能化评分,智能化评论,油耗评分,油耗评论,配置评分,配置评论,观看数,点赞数,评论数,购车目的,评论链接,爬取时间
21,6,理想MEGA,2025款 Ultra 智能焕新版,2026-03-11,深圳车友1204087,移动的家,200km,,18.0kWh,,,500公里,,,52.00万,2026-03,天津,最满意的肯定是外观和空间，当初同级别的MPV试驾了个遍，购车最大的因素就是因为颜值这一块，抛开网上的喷子不谈，未来几年只会有模仿者不会有超越者。对比同级别的mege的空间是最大的尤其是第三排的空间一点也拥挤，还有就是舒适度，冰箱彩电从人人唾弃到现在人人模仿，这就能说明这是一个符合大众消费的观念。,因为之前开过其他的mpv，所以mega的内饰确实有一点失望，国产50万级别以上车的顶棚居然还是基础布料有一点点失望。,5.0,空间很大，真的是用大来形容的，第二排坐两个一米八五的壮汉，第三排坐人也一点都不拥挤。,5.0,油门响应很快，刹车感觉有一点偏软，还有就是空气悬挂简直是无敌过坑什么的简直不要太稳。还可以自 动的调节悬架高低，很好。,5.0,因为刚提回来，目前的电耗有点超乎想象没想到这么省点，目前才18的电耗有可能是因为外形的原因风阻不是很大。,5.0,外观的话其实有一点仁者见仁智者见智的感觉，喜欢的人特别喜欢，不喜欢的人就是很讨厌，其实我当初选这款车很大一部分原因就是因为外观，第一眼看到的时候都震惊了，这个小车太前卫了，满满的科技感。,4.0,理想主打冰箱彩电大沙发而且全车智能化，不用你在麻烦的找那个按键对应那个功能，只需要喊一声理想同学就可以满足你的要求，就是顶棚的织物感有一点失望。,5.0,这车的性价比我感觉还是可以的，不管是从续航，智能化，舒适度绝对是值这50万的。,5.0,全车智能化，理想同学可以解决你百分之九十五的问题，智能驾驶也是国内第一梯队的。,0,,0,,26136,13,25,"接送小孩, 自驾游",https://k.autohome.com.cn/detail/view_01kkd96h9n6mw32c1m68tg0000.html#pvareaid=2112108,2026-05-10 13:16:17
21,6,理想MEGA,2025款 Home 家庭特别版,2025-10-09,理查德米饭饭,理想megahome，为即将面世的小米饼买的大玩具,1630km,,17.0kWh,,,545公里,,,56.00万,2025-09,上海,首先是外观，当初同级别mpv全试驾了遍，购车最大的因素还是因为颜值，抛开网上带节奏的水军不谈，这外观几年内只会有模仿者不会有超越者。其次是舒适度，冰箱彩电大沙发人人喊打却人人向往，不接受反驳，毕竟刚结束的国庆假期带着全家一路躺着到达目的地，只有拥有才知道有多香。,我是比较注重内饰的，国产50万级别以上车的顶棚居然还是基础织物的有点失望，不排除后期会自己去改装。第二就是这么大的mpv这么长的车身没有转向助力，这个转弯半径也过于大了点吧，遇到比较窄的道路和比较紧凑的车位还是有点难度的。,5.0,无论是坐在一排二排还是三排空间都还是很宽裕，头部空间也足够没有压迫感，储物空间中规中矩，主要是为了即将出生的小米饼购买的家用车所以家用足矣,5.0,虽然看了许多博主的评测，在竞品中009的操控和提速会比mega表现更优，但是单纯从家用来说，mega的驾驶感受绝对是同级天花板不接受反驳，毕竟家用场景下不需要分秒必争，也不需要跑山呀。,5.0,家中另一台纯电车是特斯拉，用车5万公里了，几乎没怎么出过上海，因为我有充电焦虑，总是担心电量不够，mega打消了我的焦虑，虽然在竞品中续航并不是最优，但是子弹头的设计大大降低了风阻和电耗，基本江浙沪一日游往返单次充电足矣。,5.0,外观方面我和米饼妈妈都特别满意，虽然网上很多黑评，但是我们花着自己的钱买自己所爱何需理会呢？会购买mega外观因素至少占了50%因素。选车时展厅没有银色现车，盲选的银色因为我们觉得银色和mega的车身特别搭，后续我们会贴成白底因为小米饼马上出生了，我们准备让小米饼自己抓阄看他喜欢什么卡通形象我们就在白底上再贴卡通涂装。,4.0,内饰选择了白色，我不想为了不确定的未来而在自己喜欢的选择上妥协，虽然买这台车主要是为了接送即将出生的小米饼，身边都劝我白色容易脏，小朋友很同意弄脏，可其他颜色就不会脏了吗？再说脏了我可以洗啊，洗不干净我可以改啊！当下喜欢才最重要不是么。副驾屏幕也为选择mega加分了，购车前对比完所有车型唯二的对比就是极氪009和理想mega，副驾屏又上一分。,5.0,综合性价比还是不错的，很多人都用mega去和极氪009，小鹏x9，岚图对比，但我其实是向上与埃尔法，沃尔沃em90等车型对比的，所以性价比我给出五星。因为我是纯家用，商用有其他车，纯粹家用的角度下，性价比真的很高，该有的都有了，其他车型没有的mega也有,5.0,mega home 目前在市面上同级别车型内的智能化不说t0级别也是t1级别的，在辅助驾驶下时等待红绿灯起步时不会有明显的顿挫感，不会“一脚刹车一脚油门”而是线性的加减速，这是比较可圈可点的地方，在车距保持方面也把控的特别好，语音反馈速度特别快，相较之下特斯拉像个稚儿。,0,,0,,42721,21,191,"购物, 接送小孩, 自驾游",https://k.autohome.com.cn/detail/view_01k747bj5b6mvk0d9n6cwg0000.html#pvareaid=2112108,2026-05-10 13:16:24
21,6,理想MEGA,2025款 Home 家庭特别版,2025-05-26,chinayang90,MEGA home，中年提供第二次情绪价值的车,100km,,20.0kWh,,,600公里,,,53.40万,2025-05,北京,外观是我最满意的，也是我首选这台车的理由，科幻的外观秒杀其他常规MPV，舒适度也是最好的，像悬浮的一艘大船,稍微就是续航没有那么猛，实际市区续航五六百吧，高速四百多，好在充电算快,5.0,,5.0,,4.0,续航这块稍微虚了点，满电市区里五六百公里吧，高速四百多，现在5C铺的比较多就还好，提车免费送了3000度电，能用一阵了,5.0,这是最满意的点,5.0,内饰没啥好说的，新款咖色非常上档次，用料没得说，整体设计就是理想家族设计,4.0,性价比这个各人看法各异了，我觉得物有所值，至少这套设计就是这个价位唯一的。而且我也是理想one首批用户，还有额外的一些补贴和优惠，终身质保也转移到了新车，这是让我非常安心的，总之是一台非常好的车,5.0,智能化绝对第一梯队，从工厂出来就一直开智驾了，挺顺畅，有一些小区可能还是不太识别，估计七月后VLA更新后就好了,0,,0,,71330,32,167,,https://k.autohome.com.cn/detail/view_01jw5sv8dv6mv32c1r6wwg0000.html#pvareaid=2112108,2026-05-10 13:16:31
21,6,理想MEGA,2025款 Home 家庭特别版,2025-04-29,幼安不下车,座椅玩出新高度！MEGA Home把客厅搬进了车里,暂无,,,,,,,,,,,,,5.0,二排的两把旋转零重力座椅同时支持无级电动旋转和零重力功能 让移动的家延伸出无限可能 不论是180°对坐还是45°便捷上下车都能轻松拿捏 而且对坐大客厅模式下的上下车也无需担心 亲自体验过后发现它比很多MPV的第三排上下车空间都要更宽敞 最开始我还担心对坐模式下满座4人+一张桌子后的腿部空间 如此一看完全无须担心，相当充裕 甚至2个人的时候开启零重力模式妥妥的秒变大床房 虽然定位家用车，但设计师绝对偷偷修炼过空间折叠术！ 而且这张悬浮小木桌也不简单哦 可以随意转动调整自己喜欢的位置 拆装过程极为简单，还可以无缝放置在后备厢的下沉空间内,5.0,配合上双腔魔毯空气悬架，可以在驻车后降低悬架高度，简直贴心加倍～ 你以为这就完了？人家连细节功能都不放过！ MEGA Home特别带来了18点热石揉捏按摩 还首发了吹吸一体的呼吸式座椅通风 把车开到山野湖边，后排一键躺平，小桌支起来放上零食饮料，打开喜欢的电影 嘶～～～想想都不要太快乐，简直把仪式感卷到天花板,5.0,,5.0,外观与原来基本保持了一致 不过180°对坐的二排座椅着实让人眼前一亮,5.0,看到车内第一眼：这不是移动的北欧客厅吗？ 刚靠近就被治愈系配色击中——浅木纹饰板、奶油白皮革，空气里仿佛飘满了家的味道。 “比我家沙发还舒服”——这是试坐后脑子里蹦出的第一句话 MEGA Home这次可以说是在舒适家用上面彻底放飞 厚厚的填充层让人坐下去像跌进棉花糖，久坐也不会腰酸,0,,5.0,,0,,0,,45305,12,32,,https://k.autohome.com.cn/detail/view_01jsyk6vjt6mtkjdsr6ww00000.html#pvareaid=2112108,2026-05-10 13:16:38
21,6,理想MEGA,2025款 Home 家庭特别版,2025-04-21,chinayang90,理想mega home的初体验,暂无,,,,,,,,,,,,,5.0,,5.0,,5.0,,5.0,,4.0,,0,,5.0,,0,,0,,22424,0,35,,https://k.autohome.com.cn/detail/view_01jsb1ywc16mtkjc9p70w00000.html#pvareaid=2112108,2026-05-10 13:16:47
21,6,理想MEGA,2025款 Home 家庭特别版,2025-10-26,ap4p5cgd2,严重质量问题,1200km,,26.0kWh,,,500公里,,,55.98万,2025-10,沈阳,沈阳理想mega新车一千公里，提车14天，充电预热异响，充电启动联电异响，沈阳售后不给解决方案，直说给换件，一个六十万的新车就这么处理吗？理想的质量，理想的售后都哪去了。理想对一台新车就这么处理问题吗？上海刚刚发生着火事件，让我们这些车主还有信任感吗？一台刚用14天的新车就要各种维修，是这台车我们还能用的放心吗？还敢使用吗？真是太失望了！！！,最基础的质量问题都无法保障还有什么可说的，其他的一切都不重要了！,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,0,,0,,5371,7,7,,https://k.autohome.com.cn/detail/view_01k8e20c5w6mvk2dhp6ww00000.html#pvareaid=2112108,2026-05-10 13:16:54
21,6,理想MEGA,2024款 Ultra,2025-06-07,行走的法师羊,理想mega提车半年使用感受来喽,59967km,14.3kWh,,,530公里,,410公里,,52.98万,2024-10,杭州,首先说说为什么选择理想mega，其实家里一直有计划买一辆mpv，这样家里双方父母都在时候只开一辆车就可以了，所以也一直在关注着各种热门mpv！其实我自己一直很喜欢埃尔法的外观，可是无奈空间和动力注定它并不适合自己开，更不适合家庭多人出行。对比之前其他品牌的车子外观又没有让我心动，直到mega发布之后，我感觉这个独特的样子还是很心动的。刚好八月份结束了新疆西藏自驾回来，硬派越野再开也没有意思了，所以就开始计划换购，和家里人试驾试乘之后，毫无抵抗力的就被mega征服。 提车以后，mega的整体表现一点也没有让我失望，无论是乘坐舒适度，还是驾驶操控都很满意。我之前家里两个油车一个是硬派越野，一个是AMG，开上mega后让我坚定的把两个全部卖掉，无论出游还是工作，都只开这一辆车。 我之前在社交平台上分享过说，mega开起来像一条灵动的大鱼，有人提出了质疑，说没有后轮转向哪里来的灵动！这一点我想说，对于车技好的我来说，没有后轮转向依然可以很从容的调头，无论杭州还是上海，新城老区，无论多复杂的路况都可以轻松应对。我不否认后轮转向的作用，但对我来说就是可有可无。 其次再分享一下理想mega的超充体验，十几分钟就可以直接充满。买了MEGA之后，朋友就问我这车过年能开的回来嘛，路上要多开一天？其实对于这一点，在买之前就已经算过，和之前的油车一样，因为我有理想5C超级充电站！看车时候销售就给我展示了理想的长途规划，从杭州到老家一路上规划了5c，看完后就毫无顾虑喽！,最不满意的那应该就是内二排座椅没有零重力，不过现在改款已经升级喽！,5.0,空间整体使用感觉，就是非常满意，空间大，特别是第三排，大天窗，大侧窗，关键是三排座椅舒适度无敌的好，对比其他车子理想是最好的！目前我家多人出行时候，副驾都不愿意坐，优先二排三排！目前来说mega空间优势是最大的车了吧，全车都舒服才是mpv最关键的！,5.0,我们每年都有几次长途自驾，现在从纯油硬派越野直接换到纯电的理想MEGA也照样继续自驾旅行，之所以敢选择纯电车，正是因为理想超充布局给了底气，每去一个城市只要充电地图看到有超充站，就可以随意的开，从来不关心剩下多少电量，因为充电速度真的是太快了，十几分钟就充满的体验感简直不要太好，要不是充电时候可以休息可能都忘了这是一辆电车！,4.0,Mega夏天电耗可以达到到13个，这是没有想到的，估计是因为风阻小吧，不过因为有理想超充，续航从来没有担心过。最后再分享一下理想mega的超充体验，十几分钟就可以直接充满。买了MEGA之后，朋友就问我这车过年能开的回来嘛，路上要多开一天？其实对于这一点，在买之前就已经算过，和之前的油车一样，因为我有理想5C超级充电站！看车时候销售就给我展示了理想的长途规划，从杭州到老家一路上规划了5c，看完后就毫无顾虑喽！ 雴 因为5C每次只需要10多分钟就充满，所以一路都没啥顾虑，空调座椅加热都随便用，行驶速度也就。 没啥顾虑，感觉就和油车一样，不得不说超充是真香！ 知道一路有理想5C充电站，所以无论跑多远都没有续航焦虑，更不存在为了保续航开龟速车，这种体验和传统油车毫无差异，重点是春节期间高速充电站还免服务费，这次回来充电费用只有我之前3.0T油车加油钱的十分之一，简直不要太爽！现在只希望高速5C可以继续多起来，多到不需要提前做规划，走到哪里都可以有5C充，那样用车体验将会变成极好！,5.0,外观那是太喜欢了，作为摄影师的我有时间就喜欢给它拍些美图，而且停在路边回头率百分百的高，无论别人怎么说，自己喜欢才是最重要的！,5.0,,4.0,目前来说性价比对比埃尔法还是很高的，毕竟冰箱彩电大沙发都是家用刚需！所以我自己个人觉得还是很值！,5.0,,0,,0,,30152,17,19,,https://k.autohome.com.cn/detail/view_01jx444hc36mv32dhr68rg0000.html#pvareaid=2112108,2026-05-10 13:17:01
21,6,理想MEGA,2024款 Ultra,2025-06-05,凉薄暮年间,理想mega奶爸的选择,5000km,20.0kWh,,,500公里,,430公里,,53.00万,2025-01,北京,理想mega这车让我最满意的莫过于整车科技感非常强，而且有足够的空间自己diy，可以按照自己的喜欢或者孩子的喜欢随意发挥，整车集智能化舒适感科技感美观为一体，是接送孩子上下学的奶爸神车。,要说这个车让我最不满意的地方当属后备箱空间了，可能因为大部分空间都给了乘坐部分，但是后备箱的空间留的位置实在太少了，每次放一点点东西就放不下了，有的稍微大点的东西也放不下，虽然可以把座椅调节放下增加后备箱空间，但是孩子上车又喜欢去最后一排，又得马上给调回来，总这样调来调去的确实很麻烦，应该在不调座椅的情况下再加大一点后备箱空间才好。,5.0,理想mega这个车的空间那是没得说，买这车的另一个主要原因就是空间大，孩子可以在车里活动空间也大，就像一列行驶的火车专列一样，给了孩子很大的空间。,5.0,理想mega这个车整体驾驶感受还是很舒适的，主要大沙发坐着舒服，智能化又强，总是不断的更新系统，推出更方便的驾驶辅助功能，让你驾驶起来越来越轻松，女士开起来也是轻轻松松，提速也比较快，毕竟电车提速都快，不过我家买这个车的定义是接送孩子用的，都是以安全平稳为主，所以竞速方面没有尝试过，都是路上稳稳的开。,5.0,整车续航表现非常惊艳，不会出现续航大打折扣的现象，夏天开空调也有很好的续航表现。,5.0,理想mega这个车的外观是我最喜欢的点，未来科技感十足，整车diy发挥空间比较大，孩子可以按照自己喜欢去装饰车子，这个车就是为了接送孩子上下学特意买的，所以并不考虑商务用途，所以孩子怎么喜欢就怎么来，这是属于孩子自己的车，每次开这个车接送孩子上下学，回头率都超高，孩子的同学也都纷纷投来羡慕的眼光，在小孩子眼里没有比有一辆属于自己的专属座驾更高兴的事了，同学都想座座他的专属座驾，孩子内心也自信阳光了很多。,5.0,内饰方面就更没的说了，理想汽车主打的优势就是冰箱彩电大沙发，坐在里面就跟回家了一样，又大又舒服，看着电视喝着冰镇饮料，孩子到车上就像回家了一样，无论是睡觉还是娱乐都非常便利，这就是奶爸神车该有的表现。,5.0,理想mega这车性价比我个人觉得还是很不错的，五十万这个价位不算便宜也不算贵，但是总体表现和实用性是值这个价的。,5.0,理想汽车除了冰箱彩电大沙发以外，主打另一个方面就是全车智能化，无论是从驾驶方面还是从乘坐方面，都非常智能，不用你再去很麻烦的找哪个按键对应哪个功能，只需要一声理想同学，就可以满足你的所有需求，比如理想同学，打开遮阳帘，理想同学，打开座椅按摩，打开座椅通风，空调调到26度等等，就像有个秘书在你身边，帮你完成所有你想做的事情，你只需要躺那吩咐就行了。,0,,0,,19314,13,8,,https://k.autohome.com.cn/detail/view_01jwzctqbr6mv32d9r60tg0000.html#pvareaid=2112108,2026-05-10 13:17:08
21,6,理想MEGA,2024款 Ultra,2025-03-10,德州车友6841615,理想Maga真的很理想,14005km,,23.0kWh,,,400公里,,,53.98万,2024-11,济南,车的悬挂系统很好，车的整体舒适好，车内空间非常宽敞，辅助驾驶，自动泊车功能好用，车在行驶过程的隔音很好，驾驶安静。,车身大但后视镜面积小，视野有盲区，乘客容易晕车，将模式全部调成运动会好一些，但依旧比燃油MPV容易晕车。,5.0,作为一款中大型SUV，理想Maga的空间非常宽敞。后排空间非常宽裕，让人感到非常舒适。座椅也很舒服。还可以躺平，行李厢的空间也非常大，完全可以满足一家人旅游出行。,4.0,理想Maga的驾驶感受，它的平顺性和舒适性却是我需要特意强调的。买这个车，主要是要追求舒适感，电动机的响应非常快，车内开起开，也十分的安静。,5.0,早上MEGA跑了高速，全程120KM/H，车上2个人，后备箱塞满了东西，室外温度10度。 空调正常开，座椅加热，按摩都打开 均速高达116.5KM/H 驱动电耗 23.3kWh/100KM 综合电耗 23.3/0.941=24.76kWh/100KM 那么MEGA 102.7kWh的电池，可以跑415KM,5.0,理想Maga的外观设计非常现代，第一次见到这种车型，跟之前的商务车的造型，有很大的不同，身线条流畅，前脸非常有辨识度。尤其是前大灯的造型，给人一种科技感十足的感觉。整体视觉效果上，Maga更有一种未来的科技感。,5.0,内饰的设计比较简洁而精致，整个车内的氛围非常温馨，也不缺豪华感，人一种高端感。中控屏的操作非常流畅。氛围灯感觉拉满的。,5.0,这车如果你能接受它的外观和价格，这车绝对是个不错的选择。别被网络的舆论所影响，喜欢的可以自己去试驾一下，车是自己的，别人的评价只能作为参考。,5.0,智能化最喜欢的功能还是自动泊车功能，车身比较大，不方便停车，有了这个自动泊车功能，然后省心了不少，车的小蓝灯也很炫酷的。,0,,0,,36330,0,45,,https://k.autohome.com.cn/detail/view_01jnxz3eeb6mtkcd9j70s00000.html#pvareaid=2112108,2026-05-10 13:17:15
21,6,理想MEGA,2024款 Ultra,2024-08-19,滴滴一声完事儿,孩子喜欢的就是好东西,2540km,16.1kWh,,,550公里,,,,52.98万,2024-07,成都,选择MEMA我最看重的就是它的外观设计，相比传统MPV浓厚的商务性质，它完全打造了一辆纯属家庭使用的MPV，同时也让我的感官发生的质的变化，原来MPV并不是商务使用的专属，同样可以成为家庭用车的标杆，整个理想品牌的定位确实非常的清晰明了，就是打造一辆家庭用车，所以不管是L系列还是MEMA，它的定位永远都是围绕着家庭来造车的，外观设计既年轻时尚，又科幻运动、不管是大人还是小孩对它的外观都是记忆深刻的，开在路上的辨识度也相当高，我还没换车之前，我的孩子经常在路上都会到处找理想汽车，他总觉得理想汽车很不一样，星环大灯很吸引他的目光。MEMA虽然没有了星环大灯，但是造型更加的犀利，更加的具有辨识度，我孩子称它为钢铁侠。,不满意的暂时没有，全是优点，到现在为止我和家人都还沉浸在提车后的喜悦中，每天都充满了快乐，因为它带给我们的惊喜确实太多太多了，拥有它后我们每一天的出行都变得更加的期待和向往，,5.0,买它也就是看重它的空间足够大，我们的家庭成员比较多，小车完全不够用，而且乘坐不舒适，MEMA刚好能满足我们的乘坐需求，大家一致决定买它没错，座椅的灵活变动让整个空间都灵动了起来，每排座位都挺宽敞的，后备厢也很大，相比其他MPV车型来说算是很大的了。,5.0,这个暑假，我经常开车带孩子出门旅行，坐在车内的视野非常开阔，各种路况都有尝试，特别是川西一带的复杂多变，MEMA都能体现出它超高的通过性，就算高海拔地区都能轻松应对，坑洼路面可以调高悬架，而且也不会感受到太强烈的颠簸。,5.0,这段时间都是在外面跑得多一些，很少在市区跑，续航方面还是挺满意的，充满电能跑五百多公里，沿途都有比较多的充电站，充电速度也快，如果遇到有超充站，还可以享受到800V的超充，充电速度蹭蹭的往上涨。,5.0,小孩子的心思怎么可能会有坏心思呢，所以当初定车有很一部分原因是因为孩子很喜欢MEMA的外形，他从认识理想这个品牌的车型开始就一直很喜欢，所以我们都挺尊重他的意愿，很快就下决定定了MEMA，当然我和家人也都挺喜欢这个外观设计的，科技感、独特性都非常强，开在路上的辨识度也相当的高，可以说现在我每天开出去，路人的后头率都是保持着高增长的，时常都会发现路边的行人在回头驻足观看我的车。不仅大还很特别。我发现小孩子都挺喜欢的。,5.0,座椅超级舒服，配置也完全按照家庭用车的标准来设计的，每次家人一起出行都觉得有家的温度，比如前后娱乐屏设计，旅途中不在无聊了，前两排带座椅通风加热按摩，三排还带加热功能，很人性化，而且二排还带腿托功能，家里老人坐在上面别提多安逸了。,5.0,我觉得买回来后各种体验还是非常让我们满意的，堪比百万级的传统豪华车了，所以我觉得性价比还是挺高的。,5.0,一路上我孩子就没有停歇过，要么就是坐在后面看动画片，要么就是和“理想同学”各种对话，智能语音交互真的非常适合有孩子的家庭，不懂的都可以问“理想同学”。,0,,0,,105259,0,150,,https://k.autohome.com.cn/detail/view_01j5nmcczn6mt34csp6rtg0000.html#pvareaid=2112108,2026-05-10 13:17:22
